Weekday,WeekdaySort,hour_of_day,total_revenue,total_orders,avg_order_value
pt.,5,16,1198.0400000000002,30,44.600000000000009
pt.,5,17,1338.26,36,42.22
pt.,5,18,1004.6800000000002,26,42.743225806451619
pt.,5,19,898.40000000000009,18,58.783076923076926
pt.,5,20,526.1,13,45.8625
pt.,5,21,553.04,15,40.023529411764706
pt.,5,22,1137.92,27,49.502857142857152
sob.,6,7,95.62,3,31.873333333333331
sob.,6,8,683.80000000000007,19,42.655833333333327
sob.,6,9,993.38000000000011,29,36.909999999999989
sob.,6,10,1264.58,38,35.878604651162789
sob.,6,11,1677.24,44,41.369824561403526
sob.,6,12,1484.82,35,56.918297872340425
sob.,6,13,1095.14,25,51.50363636363636
sob.,6,14,1220.2200000000003,31,43.94108108108108
sob.,6,15,1283.5600000000002,32,44.986153846153847
sob.,6,16,1372.5600000000002,30,58.175714285714278
sob.,6,17,987.16000000000031,25,42.930666666666674
sob.,6,18,579.98,15,43.705555555555556
sob.,6,19,632.4000000000002,13,57.157894736842096
sob.,6,20,727.24,15,53.140000000000015
sob.,6,21,390.9,10,43.515
sob.,6,22,693.91999999999985,18,44.321818181818188
niedz.,7,7,120.84,2,60.42
niedz.,7,8,578.9799999999999,18,34.827
niedz.,7,9,641.68000000000018,17,42.570909090909083
niedz.,7,10,1743.52,42,49.713076923076919
niedz.,7,11,901.30000000000007,24,44.934666666666665
niedz.,7,12,1378.3999999999999,32,53.334418604651169
niedz.,7,13,1004.6600000000001,25,48.523636363636349
niedz.,7,14,1016.9000000000001,25,47.658235294117645
niedz.,7,15,1162.9000000000003,28,46.181666666666665
niedz.,7,16,822.46,21,43.5576
niedz.,7,17,861.68000000000018,22,43.35307692307692
niedz.,7,18,1192.3,23,65.83
niedz.,7,19,402.78,9,51.118333333333325
niedz.,7,20,604.4799999999999,14,50.318888888888893
niedz.,7,21,1144.3000000000002,29,44.591176470588238
niedz.,7,22,280.88,9,31.20888888888889
