card,customer_type,R_recency_days_since_last_purchase,F_total_orders,M_lifetime_value,avg_products_per_order_per_customer,avg_order_value_per_customer
ANON-0000-0000-0650,CARD,154,5,642.1400000000001,2.2727272727272729,58.376363636363642
ANON-0000-0000-1179,CARD,20,9,638.77999999999986,1.4999999999999998,53.231666666666669
ANON-0000-0000-0385,CARD,72,15,631.4000000000002,1.2352941176470589,37.141176470588235
ANON-0000-0000-0819,CARD,93,7,576.54000000000008,1.7272727272727275,52.412727272727274
ANON-0000-0000-0455,CARD,138,4,556.45999999999992,2.25,69.5575
ANON-0000-0000-0531,CARD,174,4,554.5,2.25,69.3125
ANON-0000-0000-0059,CARD,239,9,540.76,1.6666666666666667,45.063333333333333
ANON-0000-0000-0634,CARD,67,3,540.30000000000007,2.4285714285714288,77.1857142857143
ANON-0000-0000-0408,CARD,177,5,538.8,2.0,53.879999999999995
ANON-0000-0000-0225,CARD,140,8,536.84,1.6666666666666667,44.736666666666665
ANON-0000-0000-1167,CARD,4,17,519.19999999999993,1.1111111111111112,28.844444444444445
ANON-0000-0000-0283,CARD,197,4,516.80000000000007,2.1428571428571428,73.828571428571422
ANON-0000-0000-1276,CARD,3,5,490.83999999999992,1.75,61.355000000000004
ANON-0000-0000-0153,CARD,235,4,485.46,1.8571428571428572,69.351428571428571
ANON-0000-0000-0192,CARD,218,5,479.0800000000001,1.75,59.885
ANON-0000-0000-0142,CARD,327,5,469.28000000000003,1.75,58.660000000000004
ANON-0000-0000-0702,CARD,157,2,464.88,2.6,92.976
ANON-0000-0000-1164,CARD,16,7,464.87999999999994,1.4444444444444444,51.653333333333336
ANON-0000-0000-1003,CARD,83,4,462.37999999999994,2.25,57.7975
ANON-0000-0000-0731,CARD,67,4,455.07999999999993,1.8571428571428572,65.011428571428567
ANON-0000-0000-0224,CARD,50,8,451.64000000000004,1.4,45.164
ANON-0000-0000-0494,CARD,100,13,450.17999999999995,1.0,34.629230769230766
ANON-0000-0000-1184,CARD,12,13,450.17999999999989,1.0,34.629230769230766
ANON-0000-0000-0554,CARD,187,4,448.20000000000005,2.1428571428571428,64.028571428571439
ANON-0000-0000-0118,CARD,318,3,444.78,2.3333333333333335,74.13
ANON-0000-0000-0665,CARD,168,2,428.62,2.6,85.724
ANON-0000-0000-0384,CARD,235,4,426.65999999999997,1.8571428571428572,60.951428571428572
ANON-0000-0000-0172,CARD,120,4,423.24,2.0,70.54
ANON-0000-0000-0024,CARD,293,12,422.26,1.0,35.188333333333333
ANON-0000-0000-0304,CARD,50,8,422.24,1.4,42.224000000000004
ANON-0000-0000-0683,CARD,120,10,415.88,1.1818181818181819,37.807272727272732
ANON-0000-0000-0440,CARD,160,4,410.97999999999996,1.8571428571428572,58.71142857142857
ANON-0000-0000-0287,CARD,128,4,394.32,1.8571428571428572,56.331428571428575
ANON-0000-0000-0906,CARD,65,11,393.35999999999996,1.0,35.76
ANON-0000-0000-1029,CARD,68,15,389.39999999999992,1.0,25.96
ANON-0000-0000-1178,CARD,20,8,388.45999999999992,1.2222222222222223,43.162222222222212
ANON-0000-0000-0877,CARD,65,5,383.56,1.5714285714285714,54.794285714285714
ANON-0000-0000-1160,CARD,34,10,376.68000000000006,1.1818181818181819,34.243636363636362
ANON-0000-0000-0303,CARD,259,2,372.29999999999995,2.5,93.075
ANON-0000-0000-0571,CARD,144,3,368.36,2.0,61.393333333333338
ANON-0000-0000-0685,CARD,110,2,357.6,2.5,89.4
ANON-0000-0000-1045,CARD,58,4,357.59999999999997,1.6666666666666667,59.6
ANON-0000-0000-1153,CARD,6,11,344.36000000000007,1.0,31.305454545454545
ANON-0000-0000-1156,CARD,23,10,337.99999999999994,1.0,33.8
ANON-0000-0000-1189,CARD,16,6,321.84,1.2857142857142858,45.977142857142859
ANON-0000-0000-1157,CARD,12,10,313.50000000000006,1.0,31.349999999999998
ANON-0000-0000-0055,CARD,362,2,309.6,2.0,77.4
ANON-0000-0000-1203,CARD,5,11,305.16000000000008,1.0,27.741818181818182
ANON-0000-0000-0194,CARD,257,3,300.28000000000003,1.8,60.056000000000004
ANON-0000-0000-0510,CARD,157,9,297.34,1.0,33.037777777777777
ANON-0000-0000-0258,CARD,157,3,292.44,1.8,58.488
ANON-0000-0000-1089,CARD,71,2,286.08,2.0,71.52
ANON-0000-0000-0922,CARD,101,2,286.08,2.0,71.52
ANON-0000-0000-0788,CARD,150,2,286.08,2.0,71.52
ANON-0000-0000-0690,CARD,79,8,286.08,1.0,35.76
ANON-0000-0000-1168,CARD,5,8,286.08,1.0,35.76
ANON-0000-0000-1196,CARD,0,5,286.08,1.3333333333333333,47.68
ANON-0000-0000-1190,CARD,15,8,285.56000000000006,1.2222222222222223,31.728888888888889
ANON-0000-0000-0195,CARD,82,3,284.6,1.8,56.92
ANON-0000-0000-0220,CARD,291,2,282.15999999999997,2.0,70.539999999999992
ANON-0000-0000-0920,CARD,83,2,276.28,2.0,69.07
ANON-0000-0000-0876,CARD,100,2,266.47999999999996,2.0,66.62
ANON-0000-0000-0203,CARD,271,4,264.03999999999996,1.4,52.808
ANON-0000-0000-0270,CARD,263,2,252.76000000000005,2.0,63.190000000000005
ANON-0000-0000-0347,CARD,147,7,252.74,1.25,31.5925
ANON-0000-0000-1162,CARD,15,8,251.78000000000003,1.0,31.4725
ANON-0000-0000-1210,CARD,12,7,250.31999999999996,1.0,35.76
ANON-0000-0000-0636,CARD,91,4,247.38,1.4,49.476
