order_id,order_date,card,coffee_name,total_value_of_order,avg_daily_aov,daily_aov_variance_percent
2025-02-03 17:13:21.519+00_ANON-0000-0000-1164,2025-02-03,ANON-0000-0000-1164,Latte,71.52,39.83,79.54
2025-01-27 15:27:54.111+00_ANON-0000-0000-0141,2025-01-27,ANON-0000-0000-0141,Americano with Milk,87.68,48.89,79.36
2025-01-27 15:27:54.111+00_ANON-0000-0000-0141,2025-01-27,ANON-0000-0000-0141,Americano with Milk,87.68,48.89,79.36
2025-01-27 15:27:54.111+00_ANON-0000-0000-0141,2025-01-27,ANON-0000-0000-0141,Cortado,87.68,48.89,79.36
2024-11-02 16:24:15.855+00_ANON-0000-0000-0507,2024-11-02,ANON-0000-0000-0507,Hot Chocolate,71.52,39.9,79.27
2024-11-02 16:24:15.855+00_ANON-0000-0000-0507,2024-11-02,ANON-0000-0000-0507,Latte,71.52,39.9,79.27
2025-01-16 21:15:59.720+00_ANON-0000-0000-1045,2025-01-16,ANON-0000-0000-1045,Hot Chocolate,71.52,39.97,78.93
2025-01-16 21:15:59.720+00_ANON-0000-0000-1045,2025-01-16,ANON-0000-0000-1045,Hot Chocolate,71.52,39.97,78.93
2025-02-07 16:23:14.076+00_ANON-0000-0000-1165,2025-02-07,ANON-0000-0000-1165,Latte,71.52,40.11,78.33
2025-02-07 16:23:14.076+00_ANON-0000-0000-1165,2025-02-07,ANON-0000-0000-1165,Hot Chocolate,71.52,40.11,78.33
2024-05-26 18:09:52.843+00_ANON-0000-0000-0218,2024-05-26,ANON-0000-0000-0218,Americano,103.36,58.29,77.31
2024-05-26 18:09:52.843+00_ANON-0000-0000-0218,2024-05-26,ANON-0000-0000-0218,Hot Chocolate,103.36,58.29,77.31
2024-05-26 18:09:52.843+00_ANON-0000-0000-0218,2024-05-26,ANON-0000-0000-0218,Hot Chocolate,103.36,58.29,77.31
2025-02-20 16:59:06.628+00_ANON-0000-0000-1231,2025-02-20,ANON-0000-0000-1231,Hot Chocolate,71.52,40.35,77.26
2025-02-20 16:59:06.628+00_ANON-0000-0000-1231,2025-02-20,ANON-0000-0000-1231,Cappuccino,71.52,40.35,77.26
2024-06-16 10:58:41.366+00_ANON-0000-0000-0303,2024-06-16,ANON-0000-0000-0303,Hot Chocolate,113.16,63.84,77.24
2024-06-16 10:58:41.366+00_ANON-0000-0000-0303,2024-06-16,ANON-0000-0000-0303,Hot Chocolate,113.16,63.84,77.24
2024-06-16 10:58:41.366+00_ANON-0000-0000-0303,2024-06-16,ANON-0000-0000-0303,Latte,113.16,63.84,77.24
